label_hemi	AreaDescription	region	network
SCEF_L	Supplementary and Cingulate Eye Field	Frontal	Paracentral_Lobular_and_Mid_Cingulate
6ma_L	Area 6m anterior	Frontal	Paracentral_Lobular_and_Mid_Cingulate
7AM_L	Medial Area 7A	Parietal	Superior_Parietal
7Pl_L	Lateral Area 7P	Parietal	Superior_Parietal
7PC_L	Area 7PC	Parietal	Superior_Parietal
LIPv_L	Area Lateral IntraParietal ventral	Parietal	Superior_Parietal
VIP_L	Ventral IntraParietal Complex	Parietal	Superior_Parietal
MIP_L	Medial IntraParietal Area	Parietal	Superior_Parietal
1_L	Area 1	Parietal	Somatosensory_and_Motor
2_L	Area 2	Parietal	Somatosensory_and_Motor
3a_L	Area 3a	Parietal	Somatosensory_and_Motor
6d_L	Dorsal area 6	Frontal	Premotor
6mp_L	Area 6mp	Frontal	Paracentral_Lobular_and_Mid_Cingulate
6v_L	Ventral Area 6	Frontal	Premotor
p24pr_L	Area Posterior 24 prime	Cingulate	Anterior_Cingulate_and_Medial_Prefrontal
33pr_L	Area 33 prime	Cingulate	Anterior_Cingulate_and_Medial_Prefrontal
a24pr_L	Anterior 24 prime	Cingulate	Anterior_Cingulate_and_Medial_Prefrontal
p32pr_L	Area p32 prime	Cingulate	Anterior_Cingulate_and_Medial_Prefrontal
a24_L	Area a24	Cingulate	Anterior_Cingulate_and_Medial_Prefrontal
d32_L	Area dorsal 32	Cingulate	Anterior_Cingulate_and_Medial_Prefrontal
8BM_L	Area 8BM	Frontal	Anterior_Cingulate_and_Medial_Prefrontal
p32_L	Area p32	Cingulate	Anterior_Cingulate_and_Medial_Prefrontal
10r_L	Area 10r	Frontal	Anterior_Cingulate_and_Medial_Prefrontal
47m_L	Area 47m	Frontal	Orbital_and_Polar_Frontal
8Av_L	Area 8Av	Frontal	Dorsolateral_Prefrontal
8Ad_L	Area 8Ad	Frontal	Dorsolateral_Prefrontal
9m_L	Area 9 Middle	Frontal	Anterior_Cingulate_and_Medial_Prefrontal
8BL_L	Area 8B Lateral	Frontal	Dorsolateral_Prefrontal
9p_L	Area 9 Posterior	Frontal	Dorsolateral_Prefrontal
10d_L	Area 10d	Frontal	Orbital_and_Polar_Frontal
8C_L	Area 8C	Frontal	Dorsolateral_Prefrontal
44_L	Area 44	Frontal	Inferior_Frontal
45_L	Area 45	Frontal	Inferior_Frontal
47l_L	Area 47l (47 lateral)	Frontal	Inferior_Frontal
a47r_L	Area anterior 47r	Frontal	Inferior_Frontal
6r_L	Rostral Area 6	Frontal	Premotor
IFJa_L	Area IFJa	Frontal	Inferior_Frontal
IFJp_L	Area IFJp	Frontal	Inferior_Frontal
IFSp_L	Area IFSp	Frontal	Inferior_Frontal
IFSa_L	Area IFSa	Frontal	Inferior_Frontal
p9-46v_L	Area posterior  9-46v	Frontal	Dorsolateral_Prefrontal
46_L	Area 46	Frontal	Dorsolateral_Prefrontal
a9-46v_L	Area anterior  9-46v	Frontal	Dorsolateral_Prefrontal
9-46d_L	Area 9-46d	Frontal	Dorsolateral_Prefrontal
9a_L	Area 9 anterior	Frontal	Dorsolateral_Prefrontal
10v_L	Area 10v	Frontal	Anterior_Cingulate_and_Medial_Prefrontal
a10p_L	Area anterior 10p	Orbitofrontal	Orbital_and_Polar_Frontal
10pp_L	Polar 10p	Frontal	Orbital_and_Polar_Frontal
11l_L	Area 11l	Orbitofrontal	Orbital_and_Polar_Frontal
13l_L	Area 13l	Orbitofrontal	Orbital_and_Polar_Frontal
OFC_L	Orbital Frontal Complex	Cingulate	Orbital_and_Polar_Frontal
47s_L	Area 47s	Frontal	Orbital_and_Polar_Frontal
LIPd_L	Area Lateral IntraParietal dorsal	Parietal	Superior_Parietal
6a_L	Area 6 anterior	Frontal	Premotor
i6-8_L	Inferior 6-8 Transitional Area	Frontal	Dorsolateral_Prefrontal
s6-8_L	Superior 6-8 Transitional Area	Frontal	Dorsolateral_Prefrontal
43_L	Area 43	Frontal	Posterior_Opercular
OP4_L	Area OP4/PV	Insula	Posterior_Opercular
OP1_L	Area OP1/SII	Insula	Posterior_Opercular
OP2-3_L	Area OP2-3/VS	Insula	Posterior_Opercular
52_L	Area 52	Temporal	Early_Auditory
RI_L	RetroInsular Cortex	Temporal	Early_Auditory
PFcm_L	Area PFcm	Parietal	Early_Auditory
PoI2_L	Posterior Insular Area 2	Insula	Insular_and_Frontal_Opercular
TA2_L	Area TA2	Temporal	Auditory_Association
FOP4_L	Frontal OPercular Area 4	Insula	Insular_and_Frontal_Opercular
MI_L	Middle Insular Area	Insula	Insular_and_Frontal_Opercular
Pir_L	Piriform Cortex	Insula	Insular_and_Frontal_Opercular
AVI_L	Anterior Ventral Insular Area	Insula	Insular_and_Frontal_Opercular
AAIC_L	Anterior Agranular Insula Complex	Insula	Insular_and_Frontal_Opercular
FOP1_L	Frontal OPercular Area 1	Insula	Posterior_Opercular
FOP3_L	Frontal OPercular Area 3	Insula	Insular_and_Frontal_Opercular
FOP2_L	Frontal OPercular Area 2	Insula	Insular_and_Frontal_Opercular
