roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
VisualA_ExStr_7_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
VisualA_ExStr_8_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
VisualA_ExStr_9_L	679.099427	748495.284575	3512950.204551	-2764454.919976	-0.778139
VisualA_ExStr_10_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
VisualA_ExStr_11_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
VisualA_PrC_1_L	679.099427	748495.284575	3512950.204551	-2764454.919976	-0.778139
VisualA_SPL_1_L	1765.75815	9264665.683491	5846257.017805	3418408.665686	0.962214
VisualB_ExStrInf_1_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
VisualB_ExStrInf_2_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
VisualB_ExStrInf_3_L	527.357266	1428327.355611	3187124.799918	-1758797.444307	-0.495066
VisualB_ExStrInf_4_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
VisualB_ExStrSup_1_L	689.205819	1999058.406363	3534650.958257	-1535592.551894	-0.432239
VisualB_ExStrSup_2_L	689.205819	748495.284575	3534650.958257	-2786155.673682	-0.784247
VisualB_ExStrSup_3_L	679.099427	748495.284575	3512950.204551	-2764454.919976	-0.778139
VisualB_ExStrSup_4_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
VisualB_ExStrSup_5_L	679.099427	1999058.406363	3512950.204551	-1513891.798188	-0.42613
VisualB_Striate_1_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
VisualB_Striate_2_L	679.099427	1999058.406363	3512950.204551	-1513891.798188	-0.42613
VisualB_Striate_3_L	689.205819	1999058.406363	3534650.958257	-1535592.551894	-0.432239
VisualC_ExStr_1_L	689.205819	1999058.406363	3534650.958257	-1535592.551894	-0.432239
VisualC_ExStr_2_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
VisualC_ExStr_3_L	527.357266	8515487.503171	3187124.799918	5328362.703253	1.499827
VisualC_Striate_1_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
DefaultA_IPL_1_R	1009.766835	11285070.716461	4222969.366664	7062101.349797	1.98784
DefaultA_PCC_1_R	651.353689	3721194.657877	3453373.708137	267820.94974	0.075386
DefaultA_PFCd_1_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
