roi_index	roi_name	slope	intercept	population_residual	r_squared
350	SomMotA_6_R	-0.28855	0.105209	0.161976	0.057665
351	SomMotA_7_R	-0.241364	0.107163	0.16052	0.074528
352	SomMotA_8_R	-0.392107	0.102926	0.160823	0.071039
353	SomMotA_9_R	-0.288224	0.098363	0.164	0.033964
354	SomMotA_10_R	-0.226896	0.096362	0.16499	0.022272
355	SomMotA_11_R	-0.272239	0.096386	0.164653	0.026255
356	SomMotA_12_R	-0.226039	0.094208	0.16534	0.018115
357	SomMotB_Ins_1_R	-0.191516	0.116991	0.157619	0.107676
358	SomMotB_Ins_2_R	-0.311617	0.107815	0.159661	0.084416
359	SomMotB_ParOper_1_R	-0.516597	0.105271	0.160251	0.077627
360	SomMotB_ParOper_2_R	-0.685435	0.100429	0.161406	0.064291
361	SomMotB_1_R	-0.348884	0.107331	0.161645	0.061513
362	SomMotB_2_R	-0.341345	0.104942	0.162074	0.056525
363	SomMotB_3_R	-0.262178	0.111576	0.159637	0.084682
364	SomMotB_4_R	-0.558142	0.102129	0.161023	0.068726
365	SomMotB_5_R	-0.298266	0.110757	0.159148	0.090286
366	SomMotB_6_R	-0.344091	0.106295	0.16002	0.080291
367	SomMotB_7_R	-0.451076	0.100907	0.161293	0.065601
368	VisualA_ExStr_1_R	-0.261092	0.099857	0.162024	0.057112
369	VisualA_ExStr_2_R	-0.228412	0.111712	0.159461	0.086704
370	VisualA_ExStr_3_R	-0.274466	0.100219	0.161965	0.057795
371	VisualA_ExStr_4_R	-0.27129	0.103087	0.160945	0.069626
372	VisualA_ExStr_5_R	-0.418723	0.096794	0.162473	0.051878
373	VisualA_ExStr_6_R	-0.373336	0.100381	0.161566	0.062437
374	VisualA_ExStr_7_R	-0.306043	0.109583	0.159405	0.087348
375	VisualA_ExStr_8_R	-0.291986	0.111243	0.159079	0.091073
376	VisualA_ExStr_9_R	-0.499831	0.095639	0.162744	0.048712
377	VisualA_ExStr_10_R	-0.293475	0.09922	0.161904	0.058501
378	VisualA_ExStr_11_R	-0.543539	0.094359	0.163045	0.045185
379	VisualA_ExStr_12_R	-0.429453	0.098878	0.161957	0.057888
380	VisualA_PrC_1_R	-0.20624	0.113871	0.160054	0.079892
381	VisualA_SPL_1_R	-0.238734	0.108324	0.159666	0.084349
382	VisualA_SPL_2_R	-0.179337	0.107685	0.160539	0.074318
383	VisualB_ExStrInf_1_R	-0.397869	0.098868	0.162014	0.05723
384	VisualB_ExStrInf_2_R	-0.745601	0.097576	0.162297	0.05393
