roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
DefaultA_PFCm_3_R	641.873847	205591.144471	78143.869801	127447.27467	1.441788
DefaultA_PFCm_4_R	305.978228	54247.411	34886.606107	19360.804893	0.219025
DefaultA_PHC_1_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
DefaultA_Temp_1_R	955.973837	66878.704307	118594.251781	-51715.547474	-0.585048
DefaultA_Temp_2_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
DefaultA_Temp_3_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
DefaultA_TempPole_1_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
DefaultA_TempPole_2_R	305.978228	0.0	34886.606107	-34886.606107	-0.394666
DefaultA_pCun_1_R	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
DefaultB_FPole_1_R	641.873847	205591.144471	78143.869801	127447.27467	1.441788
DefaultB_IPL_1_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
DefaultB_PFCd_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
DefaultB_PFCd_2_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
DefaultB_PFCd_3_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
DefaultB_PFCd_4_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
DefaultB_PFCv_1_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
DefaultB_Temp_1_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
DefaultB_Temp_2_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
DefaultB_TempPole_1_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
DefaultB_pCun_1_R	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
DefaultC_IPL_1_R	686.117351	66878.704307	83841.630686	-16962.926379	-0.191898
DefaultC_IPL_2_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
DefaultC_IPL_3_R	686.117351	187210.944624	83841.630686	103369.313938	1.169398
DefaultC_PFCd_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
DefaultC_PHC_1_R	629.071671	38030.990319	76495.181722	-38464.191403	-0.435138
DefaultC_PHC_2_R	955.973837	66878.704307	118594.251781	-51715.547474	-0.585048
DefaultC_RSC_1_R	667.434661	38030.990319	81435.639056	-43404.648737	-0.491029
DefaultC_RSC_2_R	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
DefaultC_RSC_3_R	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
DefaultC_pCun_1_R	667.434661	38030.990319	81435.639056	-43404.648737	-0.491029
DefaultC_pCun_2_R	629.071671	38030.990319	76495.181722	-38464.191403	-0.435138
Language_IFG_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
Language_PFCd_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
Language_PFCl_1_R	2369.333333	475951.214944	300609.321209	175341.893735	1.983611
Language_PFCl_2_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
Language_Temp_1_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
Language_Temp_2_R	955.973837	66878.704307	118594.251781	-51715.547474	-0.585048
Language_TempPole_1_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
Language_TempPole_2_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
ContA_Cingm_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContA_IPS_1_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
ContA_IPS_2_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
ContA_IPS_3_R	686.117351	187210.944624	83841.630686	103369.313938	1.169398
ContA_IPS_4_R	686.117351	111398.875327	83841.630686	27557.244641	0.31175
ContA_OFC_1_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
ContA_PFCd_1_R	2369.333333	475951.214944	300609.321209	175341.893735	1.983611
ContA_PFCl_1_R	2369.333333	475951.214944	300609.321209	175341.893735	1.983611
ContA_PFCl_2_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContA_PFCl_3_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContA_PFCmp_1_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
ContA_SPL_1_R	629.071671	66878.704307	76495.181722	-9616.477415	-0.108789
ContA_Temp_1_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
ContB_FPole_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContB_IFG_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContB_IPL_1_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
ContB_IPL_2_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
ContB_IPS_1_R	686.117351	187210.944624	83841.630686	103369.313938	1.169398
ContB_OFC_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContB_OFC_2_R	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
ContB_OFC_3_R	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContB_PCC_1_R	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
ContB_PFCd_1_R	2369.333333	475951.214944	300609.321209	175341.893735	1.983611
ContB_PFCl_2_R	2369.333333	475951.214944	300609.321209	175341.893735	1.983611
ContB_PFCmp_1_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
ContB_Temp_1_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
ContC_Cingp_1_R	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
ContC_Cingp_2_R	641.873847	77850.945006	78143.869801	-292.924795	-0.003314
ContC_IPL_1_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
ContC_Ins_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContC_OFC_1_R	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
ContC_OFC_2_R	305.978228	77850.945006	34886.606107	42964.338899	0.486048
ContC_PCC_1_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
ContC_PFCl_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContC_PFCl_2_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
ContC_PFCl_3_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
ContC_PFCm_1_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
ContC_PFCm_2_R	641.873847	205591.144471	78143.869801	127447.27467	1.441788
ContC_PFCm_3_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
ContC_pCun_1_R	305.978228	111398.875327	34886.606107	76512.26922	0.865569
SalVenAttnA_FrMed_1_R	1618.432847	185065.399941	203906.957458	-18841.557517	-0.213151
SalVenAttnA_FrMed_2_R	2369.333333	205591.144471	300609.321209	-95018.176738	-1.074923
SalVenAttnA_FrMed_3_R	1817.31412	205591.144471	229519.258374	-23928.113903	-0.270694
SalVenAttnA_FrOper_1_R	1817.31412	475951.214944	229519.258374	246431.95657	2.78784
SalVenAttnA_FrOper_2_R	1817.31412	475951.214944	229519.258374	246431.95657	2.78784
SalVenAttnA_IPL_1_R	955.973837	185065.399941	118594.251781	66471.14816	0.751976
SalVenAttnA_IPL_2_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
SalVenAttnA_Ins_1_R	1817.31412	475951.214944	229519.258374	246431.95657	2.78784
SalVenAttnA_Ins_2_R	1817.31412	475951.214944	229519.258374	246431.95657	2.78784
SalVenAttnA_Ins_3_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
SalVenAttnA_PFCmp_1_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
SalVenAttnA_SPL_1_R	629.071671	205591.144471	76495.181722	129095.962749	1.460439
SalVenAttnA_SPL_2_R	629.071671	111398.875327	76495.181722	34903.693605	0.394859
SalVenAttnB_IFG_1_R	1817.31412	396609.29565	229519.258374	167090.037276	1.890259
SalVenAttnB_IPL_1_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
