roi_name	Foreperiod_Long_tau_p_raw	Foreperiod_Long_tau_p_fdr	GoNoGo_tau_p_raw	GoNoGo_tau_p_fdr	SATO_Accuracy_tau_p_raw	SATO_Accuracy_tau_p_fdr
VisualB_Striate_3_L	0.445545	0.743336	0.207921	0.803157	0.386139	0.954312
VisualB_Striate_3_R	0.564356	0.743336	0.287129	0.803157	0.80198	0.954918
VisualC_ExStr_1_L	0.435644	0.743336	0.316832	0.806747	0.415842	0.954918
VisualC_ExStr_1_R	0.455446	0.743336	0.118812	0.803157	0.227723	0.820623
VisualC_ExStr_2_L	0.554455	0.743336	0.287129	0.803157	0.564356	0.954918
VisualC_ExStr_2_R	0.415842	0.743336	0.148515	0.803157	0.227723	0.820623
VisualC_ExStr_3_L	0.376238	0.743336	0.742574	0.92766	0.049505	0.291206
VisualC_ExStr_3_R	0.544554	0.743336	0.188119	0.803157	0.316832	0.948264
VisualC_ExStr_4_R	0.405941	0.743336	0.168317	0.803157	0.19802	0.769009
VisualC_Striate_1_L	0.465347	0.743336	0.316832	0.806747	0.544554	0.954918
